NAME                 STATUS   AGE
airflow-dev          Active   197d
airflow-prod         Active   197d
argocd               Active   197d
baseline-dev         Active   13d
baseline-prod        Active   13d
bootstrap-dev        Active   21d
bootstrap-prod       Active   21d
cert-manager         Active   215d
default              Active   252d
fastapi-dev          Active   197d
fastapi-prod         Active   197d
feature-store-dev    Active   3d21h
feature-store-prod   Active   3d21h
ingress-nginx        Active   232d
kube-node-lease      Active   252d
kube-public          Active   252d
kube-system          Active   252d
local-path-storage   Active   111d
metallb-system       Active   196d
mlflow-dev           Active   197d
mlflow-prod          Active   197d
mlops-storage-dev    Active   19d
mlops-storage-prod   Active   19d
monitoring-dev       Active   4d1h
monitoring-prod      Active   4d1h
nfs-provisioner      Active   105d
storage              Active   124d
storage-dev          Active   18d
storage-prod         Active   18d
triton-dev           Active   63d
triton-prod          Active   63d
