NAME                                       CAPACITY   ACCESS MODES   RECLAIM POLICY   STATUS     CLAIM                                                                                                                            STORAGECLASS     VOLUMEATTRIBUTESCLASS   REASON   AGE
airflow-logs-pv                            5Gi        RWX            Retain           Released   airflow/airflow-logs-pvc                                                                                                                          <unset>                          234d
airflow-triton-model-repo-dev-pv           5Gi        RWX            Retain           Bound      airflow-dev/triton-model-repo-pvc                                                                                                                 <unset>                          2d2h
airflow-triton-model-repo-prod-pv          5Gi        RWX            Retain           Bound      airflow-prod/triton-model-repo-pvc                                                                                                                <unset>                          2d2h
fastapi-logs-pv                            5Gi        RWX            Retain           Released   fastapi/fastapi-logs-pvc                                                                                                                          <unset>                          215d
pvc-0e3021d0-07a8-4acd-9a1a-ef1dbfce4677   50Gi       RWO            Delete           Bound      monitoring-dev/alertmanager-monitoring-dev-kube-promet-alertmanager-db-alertmanager-monitoring-dev-kube-promet-alertmanager-0    nfs-monitoring   <unset>                          4d1h
pvc-3e4fb2b6-bb1a-4f12-8441-6b0e7762cb60   10Gi       RWO            Delete           Bound      baseline-dev/minio-dev                                                                                                           nfs-core         <unset>                          9d
pvc-6c868237-c51f-4592-8d96-981f52aebdd9   50Gi       RWO            Delete           Bound      monitoring-prod/prometheus-monitoring-prod-kube-prome-prometheus-db-prometheus-monitoring-prod-kube-prome-prometheus-0           local-path       <unset>                          4d1h
pvc-70b9dea5-30f9-4281-9a6d-7937d92834c6   50Gi       RWO            Delete           Bound      monitoring-dev/prometheus-monitoring-dev-kube-promet-prometheus-db-prometheus-monitoring-dev-kube-promet-prometheus-0            local-path       <unset>                          4d1h
pvc-b572fb7d-cf60-42e8-80cf-a034ade79ddf   20Gi       RWO            Delete           Bound      baseline-dev/storage-loki-dev-0                                                                                                  local-path       <unset>                          13d
pvc-c3c4bdb3-16c4-4bc5-8a47-a211aab92bea   50Gi       RWO            Delete           Bound      monitoring-prod/alertmanager-monitoring-prod-kube-prome-alertmanager-db-alertmanager-monitoring-prod-kube-prome-alertmanager-0   nfs-monitoring   <unset>                          4d1h
pvc-e3d51843-e7c8-490a-ac59-ce71e7c409f5   20Gi       RWO            Delete           Bound      baseline-prod/storage-loki-prod-0                                                                                                local-path       <unset>                          13d
pvc-e5016a00-9962-4626-9310-881131dc8e39   10Gi       RWO            Delete           Bound      baseline-prod/minio-prod                                                                                                         nfs-core         <unset>                          9d
pvc-f75e2cce-93c7-4859-8a46-80a7a7e073ec   10Gi       RWO            Delete           Bound      monitoring-dev/monitoring-dev-grafana                                                                                            nfs-monitoring   <unset>                          4d1h
pvc-fe459b1e-931a-4b17-b395-679ff747cf17   10Gi       RWO            Delete           Bound      monitoring-prod/monitoring-prod-grafana                                                                                          nfs-monitoring   <unset>                          4d1h
triton-model-repo-dev-pv                   5Gi        RWX            Retain           Bound      triton-dev/triton-model-repo-pvc                                                                                                 nfs-core         <unset>                          63d
triton-model-repo-prod-pv                  5Gi        RWX            Retain           Bound      triton-prod/triton-model-repo-pvc                                                                                                nfs-core         <unset>                          63d
