NAME                 STATUS   AGE
airflow              Active   222d
airflow-dev          Active   181d
airflow-prod         Active   181d
argocd               Active   182d
baseline-dev         Active   75s
baseline-prod        Active   75s
bootstrap-dev        Active   5d22h
bootstrap-prod       Active   5d22h
cert-manager         Active   200d
default              Active   237d
fastapi              Active   222d
fastapi-dev          Active   181d
fastapi-prod         Active   181d
feature-store-dev    Active   3d19h
feature-store-prod   Active   3d19h
ingress-nginx        Active   217d
kube-node-lease      Active   237d
kube-public          Active   237d
kube-system          Active   237d
local-path-storage   Active   96d
metallb-system       Active   181d
mlflow               Active   222d
mlflow-dev           Active   181d
mlflow-prod          Active   181d
mlops-storage-dev    Active   4d19h
mlops-storage-prod   Active   4d19h
nfs-provisioner      Active   90d
observability-dev    Active   81s
observability-prod   Active   81s
storage              Active   109d
storage-dev          Active   2d23h
storage-prod         Active   2d23h
triton-dev           Active   48d
triton-prod          Active   48d
